65827 - 88863, in-den-stollen-geblitzt - schieferstollen
65828 - 82770, ingelfingen - ingelfingen
65830 - 84564, irfersgrun-turmalinschurf - irfersgrun-turmalinschurf
65831 - 81281, isaak-erbstolln - isaak-erbstolln
65832 - 79743, jaspisfundpunkt - jaspisfundpunkt
65834 - 81327, jocketa-gangrevier - jocketa-gangrevier
65841 - 84007, jung-himmelreich-tageschacht - jung-himmelreich-tageschacht
65842 - 84017, junge-3-bruder-and-heylander-gem-kunstschacht - junge-3-bruder-and-heylander-gem-kunstschacht
65862 - 84459, kalklager-oberscheibe - kalklager-oberscheibe
65875 - 82462, kandern - kandern
65879 - 80789, kappenbuhl - kappenbuhl
65895 - 80248, kiesgrube-erfurt - kiesgrube-erfurt
65927 - 80783, kleinposna-kiesgrube - kleinposna-kiesgrube
65938 - 81130, kochhutte-august-bebel-hutte - kochhutte-august-bebel-hutte
65948 - 81138, komplex-saigerhutte-grunthal - komplex-saigerhutte-grunthal
65951 - 82893, kottenheide-grube-st-peter - kottenheide-grube-st-peter
65952 - 65953, krandorf - krandorf1
65963 - 81472, krughutte - krughutte
65969 - 84446, kuhbergbruch-neumuhle - kuhbergbruch-neumuhle
65970 - 82176, kuhschacht - kuhschacht
65972 - 84556, kunnersteinverwerfung - kunnersteinverwerfung
66004 - 82807, langer-berg - langer-berg
66007 - 81687, laudenbach - laudenbach
66012 - 84006, lazarus-schacht - lazarus-schacht
66027 - 66028, lissenthan - lissenthan1
66038 - 84527, lorenz-gegentrum - lorenz-gegentrum
66052 - 82786, ludwig-schacht - ludwig-schacht
66063 - 82164, loffler-schacht - loffler-schacht
66136 - 81663, markkleeberger-see - markkleeberger-see
66138 - 82610, marktleugast - marktleugast
66142 - 80505, marmorsteinbruche-stemmas - marmorsteinbruche-stemmas
66158 - 80791, merzhausen - merzhausen
66161 - 82887, michelsberggang - michelsberggang
66179 - 84741, molchner-stolln - molchner-stolln
66192 - 84155, mundl-d-oberen-stl-funf-bruder-fundgrube - mundl-d-oberen-stl-funf-bruder-fundgrube
66193 - 84156, mundl-d-tiefen-stl-funf-bruder-fundgrube - mundl-d-tiefen-stl-funf-bruder-fundgrube
